num_res,num_rot,alpha,p,shots,mean_iter,mean_shots,num_qubits
3,3,0.2,5,15,8.0,120.0,9
3,3,0.2,6,10,1.0,10.0,9
3,3,0.2,6,15,1.0,15.0,9
3,3,0.2,7,10,1.0,10.0,9
6,3,0.2,1,20,9.0,180.0,18
6,3,0.2,2,20,14.0,280.0,18
6,3,0.2,3,20,17.0,340.0,18
6,3,0.2,4,20,33.0,660.0,18
6,3,0.2,5,20,14.0,280.0,18
6,3,0.2,6,20,72.0,1440.0,18
6,3,0.2,7,15,15.0,225.0,18
6,3,0.2,7,20,13.0,260.0,18
7,2,0.2,1,25,7.0,175.0,14
7,2,0.2,1,30,8.0,240.0,14
7,2,0.2,1,35,6.0,210.0,14
7,2,0.2,2,25,2.0,50.0,14
7,2,0.2,2,30,2.0,60.0,14
7,2,0.2,2,35,1.0,35.0,14
7,2,0.2,3,25,2.0,50.0,14
7,2,0.2,3,30,2.0,60.0,14
7,2,0.2,3,35,2.0,70.0,14
7,2,0.2,4,25,2.0,50.0,14
7,2,0.2,4,30,2.0,60.0,14
7,2,0.2,4,35,2.0,70.0,14
7,2,0.2,5,25,2.0,50.0,14
7,2,0.2,5,30,2.0,60.0,14
7,2,0.2,5,35,2.0,70.0,14
7,2,0.2,6,25,3.0,75.0,14
7,2,0.2,6,30,3.0,90.0,14
7,2,0.2,6,35,1.0,35.0,14
7,2,0.2,7,25,1.0,25.0,14
7,2,0.2,7,30,2.0,60.0,14
7,2,0.2,7,35,1.0,35.0,14
7,3,0.2,1,15,4.0,60.0,21
7,3,0.2,1,20,11.0,220.0,21
7,3,0.2,1,25,8.0,200.0,21
7,3,0.2,1,30,7.0,210.0,21
7,3,0.2,1,35,7.0,245.0,21
7,3,0.2,2,10,26.0,260.0,21
7,3,0.2,2,20,9.0,180.0,21
7,3,0.2,2,25,10.0,250.0,21
7,3,0.2,2,30,10.0,300.0,21
7,3,0.2,2,35,8.0,280.0,21
7,3,0.2,3,10,23.0,230.0,21
7,3,0.2,3,15,21.0,315.0,21
7,3,0.2,3,20,7.0,140.0,21
7,3,0.2,3,30,18.0,540.0,21
7,3,0.2,3,35,32.0,1120.0,21
7,3,0.2,4,15,7.0,105.0,21
7,3,0.2,4,20,14.0,280.0,21
7,3,0.2,4,25,25.0,625.0,21
7,3,0.2,4,30,11.0,330.0,21
7,3,0.2,4,35,24.0,840.0,21
7,3,0.2,5,10,29.0,290.0,21
7,3,0.2,5,15,9.0,135.0,21
7,3,0.2,5,20,19.0,380.0,21
7,3,0.2,5,25,52.0,1300.0,21
7,3,0.2,5,30,11.0,330.0,21
7,3,0.2,5,35,3.0,105.0,21
7,3,0.2,6,10,13.0,130.0,21
7,3,0.2,6,15,13.0,195.0,21
7,3,0.2,6,20,12.0,240.0,21
7,3,0.2,6,25,3.0,75.0,21
7,3,0.2,6,30,9.0,270.0,21
7,3,0.2,6,35,10.0,350.0,21
7,3,0.2,7,15,12.0,180.0,21
7,3,0.2,7,20,39.0,780.0,21
7,3,0.2,7,25,15.0,375.0,21
6,3,0.2,1,10,15.0,150.0,18
6,3,0.2,2,10,15.0,150.0,18
6,3,0.2,3,10,12.0,120.0,18
6,3,0.2,5,10,20.0,200.0,18
6,3,0.2,7,10,12.0,120.0,18
7,2,0.2,1,15,1.0,15.0,14
